Date,Open,High,Low,Close,AdjClose,Volume
10/29/2021,147.220001,149.940002,146.410004,149.800003,149.581696,124850400
11/1/2021,148.990005,149.699997,147.800003,148.960007,148.74292,74588300
11/2/2021,148.660004,151.570007,148.649994,150.020004,149.801376,69122000
11/3/2021,150.389999,151.970001,149.820007,151.490005,151.269241,54511500
11/4/2021,151.580002,152.429993,150.639999,150.960007,150.740005,60394600
11/5/2021,151.889999,152.199997,150.059998,151.279999,151.279999,65414600
11/8/2021,151.410004,151.570007,150.160004,150.440002,150.440002,55020900
11/9/2021,150.199997,151.429993,150.059998,150.809998,150.809998,56787900
11/10/2021,150.020004,150.130005,147.850006,147.919998,147.919998,65187100
11/11/2021,148.960007,149.429993,147.679993,147.869995,147.869995,41000000
11/12/2021,148.429993,150.399994,147.479996,149.990005,149.990005,63632600
11/15/2021,150.369995,151.880005,149.429993,150,150,59222800
11/16/2021,149.940002,151.490005,149.339996,151,151,59256200
11/17/2021,151,155,150.990005,153.490005,153.490005,88807000
11/18/2021,153.710007,158.669998,153.050003,157.869995,157.869995,137827700
11/19/2021,157.649994,161.020004,156.529999,160.550003,160.550003,117305600
11/22/2021,161.679993,165.699997,161,161.020004,161.020004,117467900
11/23/2021,161.119995,161.800003,159.059998,161.410004,161.410004,96041900
11/24/2021,160.75,162.139999,159.639999,161.940002,161.940002,69463600
11/26/2021,159.570007,160.449997,156.360001,156.809998,156.809998,76959800
